url,status
https://tver.smsint.ru/assets/images/674cafd479.php,Failed (Status code: 404)
https://litlas.com/1e14d7309a.php,Failed (Status code: 404)
http://serafimminsk.by/assets/images/ea8c4b5649.php,Failed (Status code: 403)
https://mixrootmods.com/assets/images/45db525e77.php,Failed (Status code: 403)
https://orwo.ru/assets/images/646c9bcc33.php,Failed (Status code: 404)
https://vodostok-moscow.ru:443/bitrix/admin/0139b4aa83.php,Success
https://cintivo.ru/bitrix/admin/57f3b719e1.php,Error: HTTPSConnectionPool(host='cintivo.ru', port=443): Max retries exceeded with url: /bitrix/admin/57f3b719e1.php (Caused by SSLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'cintivo.ru'. (_ssl.c:1129)")))
https://simferopol.smsint.ru/assets/images/32d7ca72dc.php,Failed (Status code: 404)
https://dorss-market.com:443/assets/images/9865b1d975.php,Failed (Status code: 404)
https://thermagent.ru:443/bitrix/admin/d75e0462d1.php,Success
https://chelyabinsk.smsint.ru/assets/images/764ba3ebae.php,Failed (Status code: 404)
https://print.prospekt-web.ru/7bdaa501cb.php,Failed (Status code: 403)
http://novo.gacc-ma.org.br/1be2e3cb50.php,Failed (Status code: 406)
https://ufa.smsint.ru/assets/images/5c28883aaf.php,Failed (Status code: 404)
https://go-fit.online/assets/images/d3b578d261.php,Failed (Status code: 404)
https://krasnodar.smsint.ru/assets/images/34cf01eaf8.php,Failed (Status code: 404)
https://yourstory.org.uk/wp-content/uploads/7bb0a6666e.php,Success
https://ulyanovsk.smsint.ru/assets/images/911f618268.php,Failed (Status code: 404)
https://novosibirsk.smsint.ru/assets/images/553e6abe57.php,Failed (Status code: 404)
https://kirov.smsint.ru/assets/images/062012ed11.php,Failed (Status code: 404)
https://thisstory.org/b5a501da63.php,Failed (Status code: 406)
https://hungnamphat.com.vn/wp-content/plugins/wp-automatic/89137e50eb.php,Failed (Status code: 404)
http://makrotim.bx.hmns.ru/9e5f150f45.php,Failed (Status code: 404)
https://consolia.ru:443/bitrix/admin/0a88fba9ef.php,Success
https://www.nairagator.com/3c9c3a69d4.php,Failed (Status code: 406)
https://smsint.ru:443/assets/images/9d84c51a2a.php,Failed (Status code: 404)
https://voronezh.smsint.ru/assets/images/fed6e9351d.php,Failed (Status code: 404)
https://ccp.im/bitrix/admin/e88e025a5a.php,Success
https://ivanovo.smsint.ru/assets/images/2fc9e32ff6.php,Failed (Status code: 404)
https://kyzyl.smsint.ru/assets/images/0b99a5e37a.php,Failed (Status code: 404)
http://okna-klas.ru/assets/images/6ef7ab03c9.php,Failed (Status code: 404)
https://www.club-chai.ru/assets/images/58b6f7f72e.php,Failed (Status code: 403)
https://rostov-na-donu.smsint.ru/assets/images/399ed5d431.php,Failed (Status code: 404)
https://omsk.smsint.ru/assets/images/3bce91cce7.php,Failed (Status code: 404)
https://okna-derevyannie.ru/assets/images/409beadbd7.php,Error: HTTPSConnectionPool(host='okna-derevyannie.ru', port=443): Max retries exceeded with url: /assets/images/409beadbd7.php (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1129)')))
https://vladimir.smsint.ru/assets/images/e5f2558d06.php,Failed (Status code: 404)
https://epicentrointernacional.com/wp-content/uploads/097afdd670.php,Failed (Status code: 403)
https://kurgan.smsint.ru/assets/images/f28cc1d9e3.php,Failed (Status code: 404)
https://www.kk-zavod.ru/assets/images/b21d5e8ecb.php,Failed (Status code: 404)
https://presnja.ru/bitrix/admin/a382700314.php,Success
https://saratov.smsint.ru/assets/images/416ed23c73.php,Failed (Status code: 404)
http://xn----itbbrichgbbekh2aey.xn--p1ai/assets/images/1570dfe4ae.php,Failed (Status code: 403)
http://sklad.hmns.ru/assets/images/4067452831.php,Failed (Status code: 404)
https://velikiy-novgorod.smsint.ru/assets/images/5735cb3cff.php,Failed (Status code: 404)
https://orwo-expert.ru/assets/images/0f0fce00df.php,Success
http://kron.skalar.net/assets/images/60e470d9a3.php,Failed (Status code: 404)
https://saratov.smsint.ru:443/bitrix/admin/8814d76886.php,Success
https://vladikavkaz.smsint.ru/assets/images/fc8934092c.php,Failed (Status code: 404)
https://katyagerdt.com:443/bitrix/admin/b9c650ba49.php,Success
http://progisystunisie.com.tn/77e4bb48ce.php,Failed (Status code: 403)
http://khairolfibergroup.com/wp-content/plugins/backup-backup/includes/5328aa5ace.php,Failed (Status code: 403)
http://serafimminsk.by/ea8c4b5649.php,Failed (Status code: 403)
https://petropavlovsk-kamchatskiy.smsint.ru/assets/images/4eee88aaa1.php,Failed (Status code: 404)
https://www.circulodejuristasmarbella.com/be1793f246.php,Failed (Status code: 403)
